index,Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
1142,2021,AL,Alabama,Covington,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,42.9,,,38.1,47.6,"37,524",1039,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-86.4487206 31.2439873)
1144,2021,AL,Alabama,Talladega,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,77.2,,,72.5,81.3,"81,524",1121,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-86.1759302 33.3693135)
1152,2020,AL,Alabama,Pike,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,58.1,,,54.7,61.2,"32,991",1109,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-85.9416076 31.7986533)
1155,2021,AL,Alabama,Morgan,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,12.0,,,9.5,14.8,"123,668",1103,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-86.8464021 34.4544844)
1160,2021,AL,Alabama,Covington,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,6.6,,,5.7,7.5,"37,524",1039,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-86.4487206 31.2439873)
1162,2021,AL,Alabama,Fayette,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,10.8,,,9.2,12.6,"16,148",1057,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-87.7642923 33.7161568)
1163,2021,AL,Alabama,Dale,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,27.6,,,23.8,31.8,"49,342",1045,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-85.609476 31.4306536)
1164,2021,AL,Alabama,Lawrence,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,19.9,,,17.3,22.8,"33,090",1079,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-87.3218651 34.529776)
1166,2020,AL,Alabama,Talladega,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,41.4,,,34.1,49.3,"81,524",1121,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-86.1759302 33.3693135)
1176,2021,AL,Alabama,Clay,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,23.7,,,20.2,27.6,"14,190",1027,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-85.8635254 33.2703999)
1179,2021,AL,Alabama,Dallas,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,11.8,,,10.3,13.3,"37,619",1047,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-87.11436 32.3335263)
1181,2021,AL,Alabama,Coosa,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.3,,,86.2,90.4,"10,450",1037,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-86.2434818 32.9314453)
1183,2020,AL,Alabama,Lowndes,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,48.4,,,44.6,52.1,"9,965",1085,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-86.6505859 32.147888)
1185,2021,AL,Alabama,Marion,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,35.4,,,29.3,41.9,"29,246",1093,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-87.881551 34.1382194)
1193,2021,AL,Alabama,Russell,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,7.2,,,6.3,8.2,"58,722",1113,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-85.1869798 32.2898113)
1197,2021,AL,Alabama,Cullman,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,18.2,,,15.0,21.3,"89,496",1043,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-86.8692666 34.1319229)
1204,2021,AL,Alabama,Montgomery,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,87.1,,,84.5,89.6,"227,434",1101,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-86.2044615 32.2028812)
1206,2020,AL,Alabama,Crenshaw,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,72.8,,,68.7,76.7,"13,083",1041,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-86.3200384 31.7303106)
1211,2021,AL,Alabama,Tallapoosa,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,6.5,,,5.7,7.4,"41,023",1123,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-85.7996176 32.8633076)
1212,2021,AL,Alabama,Shelby,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,21.7,,,18.3,25.3,"226,902",1117,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-86.6780894 33.2630428)
1214,2020,AL,Alabama,Marengo,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,54.0,,,50.9,57.1,"18,996",1091,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-87.791091 32.2475911)
1215,2020,AL,Alabama,Blount,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,82.9,,,80.3,85.1,"59,041",1009,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-86.56644 33.9773575)
1221,2020,AL,Alabama,Blount,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,82.5,,,79.8,84.8,"59,041",1009,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-86.56644 33.9773575)
1223,2021,AL,Alabama,Pike,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,81.7,,,77.9,85.0,"32,991",1109,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-85.9416076 31.7986533)
1226,2021,AL,Alabama,Cullman,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,7.8,,,6.4,9.2,"89,496",1043,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-86.8692666 34.1319229)
1233,2021,AL,Alabama,Limestone,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.9,,,8.6,11.2,"107,517",1083,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-86.9813995 34.8102387)
1238,2020,AL,Alabama,Marengo,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,70.2,,,67.5,72.6,"18,996",1091,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-87.791091 32.2475911)
1249,2020,AL,Alabama,Lee,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,84.0,,,81.9,86.1,"177,218",1081,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-85.3530477 32.6040644)
1256,2021,AL,Alabama,Monroe,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,6.8,,,6.0,7.6,"19,648",1099,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-87.3832656 31.5803324)
1262,2021,AL,Alabama,Shelby,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,24.5,,,20.3,29.0,"226,902",1117,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-86.6780894 33.2630428)
1263,2021,AL,Alabama,Walker,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,30.7,,,26.5,34.8,"64,818",1127,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-87.3010936 33.7915581)
1264,2021,AL,Alabama,Cleburne,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,8.5,,,7.0,10.2,"15,103",1029,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-85.5161261 33.6719637)
1269,2021,AL,Alabama,Houston,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,6.2,,,5.4,7.1,"107,458",1069,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-85.2964111 31.1581831)
1270,2021,AL,Alabama,Jackson,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,16.7,,,13.9,19.8,"52,773",1071,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-85.9800556 34.764114)
1277,2020,AL,Alabama,Dale,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,74.9,,,71.3,78.3,"49,342",1045,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-85.609476 31.4306536)
1278,2021,AL,Alabama,Talladega,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,42.1,,,34.5,49.6,"81,524",1121,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.1759302 33.3693135)
1298,2021,AL,Alabama,Colbert,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,33.0,,,27.4,39.4,"57,474",1033,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-87.8014569 34.703112)
1300,2020,AL,Alabama,Butler,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,83.8,,,82.1,85.7,"18,884",1013,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-86.6819689 31.751667)
1302,2021,AL,Alabama,Lawrence,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,8.5,,,7.4,9.6,"33,090",1079,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-87.3218651 34.529776)
1304,2021,AL,Alabama,Escambia,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,23.3,,,19.3,27.5,"36,699",1053,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-87.1684097 31.1222867)
1309,2020,AL,Alabama,Washington,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,36.4,,,29.9,43.4,"15,147",1129,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-88.2124041 31.4085035)
1311,2021,AL,Alabama,Madison,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,27.9,,,24.4,31.3,"395,211",1089,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-86.5510802 34.7642377)
1312,2021,AL,Alabama,Tallapoosa,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,17.0,,,14.5,19.7,"41,023",1123,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-85.7996176 32.8633076)
1315,2021,AL,Alabama,Madison,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,21.9,,,18.5,25.4,"395,211",1089,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-86.5510802 34.7642377)
1319,2021,AL,Alabama,Mobile,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,15.1,,,13.0,17.6,"413,073",1097,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-88.1965682 30.6845725)
1320,2021,AL,Alabama,Limestone,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,6.7,,,5.5,8.0,"107,517",1083,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-86.9813995 34.8102387)
1321,2021,AL,Alabama,Pike,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,7.8,,,6.5,9.3,"32,991",1109,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-85.9416076 31.7986533)
1322,2021,AL,Alabama,Perry,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,83.0,,,79.9,86.0,"8,355",1105,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-87.2938269 32.6390053)
1326,2020,AL,Alabama,Pickens,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,82.9,,,81.0,84.8,"18,801",1107,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-88.0968644 33.2968003)
1328,2021,AL,Alabama,Butler,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,20.1,,,16.7,23.9,"18,884",1013,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-86.6819689 31.751667)
1329,2021,AL,Alabama,Mobile,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,15.5,,,13.3,18.1,"413,073",1097,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-88.1965682 30.6845725)
1334,2021,AL,Alabama,Wilcox,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,16.3,,,12.7,20.1,"10,446",1131,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-87.3049349 31.9900824)
1337,2020,AL,Alabama,Madison,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,65.0,,,61.5,68.3,"395,211",1089,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-86.5510802 34.7642377)
1339,2021,AL,Alabama,Autauga,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.4,,,3.0,3.9,"59,095",1001,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-86.6464395 32.5322367)
1340,2021,AL,Alabama,Washington,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,41.8,,,34.1,50.1,"15,147",1129,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-88.2124041 31.4085035)
1342,2021,AL,Alabama,Jefferson,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,30.4,,,27.5,33.5,"667,820",1073,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-86.8965359 33.5534439)
1349,2021,AL,Alabama,Lauderdale,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,17.1,,,13.4,21.2,"94,043",1077,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-87.6509966 34.9041221)
1355,2020,AL,Alabama,Pickens,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,37.1,,,31.3,43.0,"18,801",1107,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-88.0968644 33.2968003)
1356,2021,AL,Alabama,Lee,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.9,,,5.3,6.5,"177,218",1081,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-85.3530477 32.6040644)
1359,2021,AL,Alabama,Dale,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,20.3,,,16.5,24.7,"49,342",1045,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-85.609476 31.4306536)
1379,2021,AL,Alabama,Pike,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,35.2,,,30.5,40.5,"32,991",1109,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-85.9416076 31.7986533)
1380,2021,AL,Alabama,DeKalb,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,7.1,,,6.2,8.2,"71,813",1049,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-85.8040207 34.4609148)
1383,2021,AL,Alabama,Bullock,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,19.6,,,16.9,22.2,"10,320",1011,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-85.7172613 32.1017589)
1385,2021,AL,Alabama,Russell,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,32.0,,,27.6,36.4,"58,722",1113,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-85.1869798 32.2898113)
1386,2020,AL,Alabama,Talladega,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,82.6,,,80.6,84.7,"81,524",1121,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-86.1759302 33.3693135)
1387,2021,AL,Alabama,Fayette,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,15.6,,,13.4,18.1,"16,148",1057,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-87.7642923 33.7161568)
1390,2020,AL,Alabama,Limestone,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,38.8,,,37.2,40.4,"107,517",1083,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-86.9813995 34.8102387)
1395,2020,AL,Alabama,Cleburne,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,70.9,,,65.8,75.7,"15,103",1029,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-85.5161261 33.6719637)
1398,2021,AL,Alabama,Escambia,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,15.5,,,12.6,18.7,"36,699",1053,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-87.1684097 31.1222867)
1400,2021,AL,Alabama,Cherokee,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,20.1,,,17.4,23.0,"24,996",1019,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-85.6542417 34.0695153)
1403,2021,AL,Alabama,Geneva,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,17.4,,,14.8,20.2,"26,701",1061,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-85.8210224 31.0923822)
1406,2021,AL,Alabama,Marengo,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,26.1,,,22.6,29.8,"18,996",1091,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-87.791091 32.2475911)
1418,2021,AL,Alabama,Chambers,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,10.4,,,9.0,11.9,"34,541",1017,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-85.3940321 32.9155039)
1424,2021,AL,Alabama,Hale,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,50.6,,,45.7,55.2,"14,754",1065,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-87.6230608 32.7527958)
1429,2021,AL,Alabama,Madison,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,79.4,,,76.3,82.3,"395,211",1089,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-86.5510802 34.7642377)
1430,2021,AL,Alabama,Lauderdale,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,34.1,,,29.4,39.1,"94,043",1077,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-87.6509966 34.9041221)
1437,2021,AL,Alabama,Colbert,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,6.0,,,5.2,6.9,"57,474",1033,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-87.8014569 34.703112)
1440,2021,AL,Alabama,Etowah,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,3.3,,,2.9,3.7,"103,162",1055,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-86.0342629 34.0476407)
1450,2021,AL,Alabama,Tallapoosa,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,4.1,,,3.7,4.5,"41,023",1123,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-85.7996176 32.8633076)
1453,2020,AL,Alabama,Greene,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,46.4,,,44.7,47.9,"7,629",1063,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-87.9642005 32.8444965)
1461,2021,AL,Alabama,DeKalb,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,18.3,,,15.5,21.1,"71,813",1049,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-85.8040207 34.4609148)
1462,2021,AL,Alabama,Jackson,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,10.6,,,8.9,12.5,"52,773",1071,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-85.9800556 34.764114)
1463,2020,AL,Alabama,Bullock,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,31.9,,,25.8,38.3,"10,320",1011,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-85.7172613 32.1017589)
1466,2021,AL,Alabama,Marshall,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,4.7,,,3.9,5.4,"98,228",1095,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-86.3216681 34.3095637)
1468,2021,AL,Alabama,Coffee,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,9.0,,,7.7,10.4,"54,174",1031,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-85.9896022 31.402258)
1474,2021,AL,Alabama,Russell,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,43.8,,,36.0,51.6,"58,722",1113,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.1869798 32.2898113)
1484,2021,AL,Alabama,Montgomery,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,41.6,,,37.7,45.9,"227,434",1101,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-86.2044615 32.2028812)
1486,2021,AL,Alabama,Washington,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,40.8,,,36.0,46.0,"15,147",1129,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-88.2124041 31.4085035)
1487,2021,AL,Alabama,Sumter,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,13.8,,,10.7,17.4,"12,164",1119,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-88.2000571 32.5974811)
1491,2021,AL,Alabama,Chilton,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,13.5,,,10.8,16.9,"45,274",1021,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-86.7266071 32.8540514)
1501,2021,AL,Alabama,Colbert,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,3.1,,,2.8,3.5,"57,474",1033,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-87.8014569 34.703112)
1506,2020,AL,Alabama,Mobile,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,40.5,,,39.1,41.9,"413,073",1097,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-88.1965682 30.6845725)
1507,2021,AL,Alabama,Talladega,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.9,,,3.5,4.3,"81,524",1121,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-86.1759302 33.3693135)
1511,2021,AL,Alabama,Tallapoosa,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.1,,,13.0,17.5,"41,023",1123,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-85.7996176 32.8633076)
1514,2020,AL,Alabama,Hale,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,50.1,,,46.9,53.4,"14,754",1065,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-87.6230608 32.7527958)
1516,2021,AL,Alabama,Houston,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,24.8,,,21.0,29.1,"107,458",1069,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-85.2964111 31.1581831)
1519,2021,AL,Alabama,Fayette,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,17.4,,,14.8,20.2,"16,148",1057,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-87.7642923 33.7161568)
1520,2021,AL,Alabama,Colbert,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,34.2,,,29.4,39.2,"57,474",1033,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-87.8014569 34.703112)
1521,2021,AL,Alabama,Chambers,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,19.5,,,15.9,23.3,"34,541",1017,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-85.3940321 32.9155039)
1522,2021,AL,Alabama,Pickens,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.8,,,13.7,18.0,"18,801",1107,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-88.0968644 33.2968003)
1527,2021,AL,Alabama,DeKalb,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,3.5,,,3.1,4.0,"71,813",1049,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-85.8040207 34.4609148)
1530,2020,AL,Alabama,Lowndes,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,22.1,,,17.3,27.8,"9,965",1085,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-86.6505859 32.147888)
1532,2021,AL,Alabama,Elmore,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,3.9,,,3.3,4.5,"89,304",1051,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-86.1427347 32.597229)
